Icon,Name,Quantity,Unit Price,World,Retainer,Sold At
,Open Book,1,89989,Phantom,El'jonah,24/05/2026 19:38:26
,Grade 4 Gemdraught of Dexterity,15,3997,Phantom,La'vane,24/05/2026 19:38:22
,Timeworn Br'aaxskin Map,1,19999,Phantom,El'jonah,24/05/2026 18:33:14
,Plain Hooded Tunic,1,2799998,Phantom,La'vane,24/05/2026 18:33:10
,Rose Garnet Ore,15,700,Phantom,La'rosalia,24/05/2026 18:33:06
,Mason's Abrasive,8,16998,Phantom,La'rosalia,24/05/2026 18:33:06
,Levinchrome Aethersand,25,1996,Phantom,La'rosalia,24/05/2026 18:33:06
,Glade Half Partition,1,49995,Phantom,La'rosalia,24/05/2026 18:33:06
,Riviera Wall Shelf,1,57584,Phantom,La'rosalia,24/05/2026 18:33:06
,Bamboo Copse,1,41994,Phantom,La'rosalia,24/05/2026 12:12:23
,Bamboo Copse,1,41994,Phantom,La'rosalia,24/05/2026 12:12:23
,Condensed Solution,1,7196,Phantom,El'jonah,24/05/2026 10:47:50
,Courtly Lover's Ring of Slaying,1,499969,Phantom,El'jonah,24/05/2026 10:47:50
,Dense Aluminum Ore,7,996,Phantom,La'rosalia,24/05/2026 10:47:35
,Zabuton Cushion,1,38899,Phantom,La'vane,24/05/2026 0:03:49
,Zabuton Cushion,1,38899,Phantom,La'vane,24/05/2026 0:03:49
,Vanya Silk,1,1443,Phantom,La'rosalia,24/05/2026 0:02:48
